WORD,Meaning
bind oneself to,~할 것을 약속하다
by birth,"타고난, 태생은"
bit by bit,"조금씩, 점차로"
a bit of,"소량의, 한 조각의"
be to blame,"책임이 있다, ~가 나쁘다"
be blessed with,"의 혜택을 받고 있다, ~을 누리다"
bless oneself,이마와 가슴에 십자가를 긋다
bless one’s stars,행운을 감사하다
be blind to,"~을 보지 못하다, ~을 모르다"
in full bloom,"만발하여, 꽃이 피어"
blow off,"불어 날려 버리다, 내뿜다"
blow up,"폭파하다, 화내다"
at one blow,"일격에, 단번에"
on board,"승선하여, 승차하여"
born of,"~에서 태어난, ~출신의"
born to,"~으로 태어난, ~을 타고난"
bound to,~할 의무가 있다
at a bound,"단 한번의 도약으로, 일약"
break away,"도망치다, 이탈하다"
break down,"파괴하다, 부서지다, 분해하다"
break in,"길들이다, 훈육하다"
break into,"~에 침입하다, 별안간 ~하기 시작하다"
break loose,"탈출하다, 도망치다"
break out,"일어나다, 발생하다"
break through,나타나다
break up,"산회하다, 분쇄하다, 헤어지다"
break up,"~와 절교하다, ~을 그만두다"
out of breath,숨이 차서
hold a brief for,"~을 변호하다, 지지하다"
in brief,"요컨대, 요약하면"
bring out,"일으키다, 야기하다, 해내다"
bring down,"내리다, 꺾다, 멸망시키다"
bring forth,"열매를 맺다, 생기다, 발표하다"
bring in,"가지고 들어오다, 소개하다"
bring out,"공표하다, 출판하다, 생각해 내다"
bring to life,소생시키다
bring to light,"공표하다, 밝히다"
bring to mind,~을 생각나게 하다
bring to pass,생기게 하다
bring up,"기르다, 교육하다, 제출하다"
at a brush,"일거에, 단번에"
brush aside (away),"털어 버리다, 무시하다"
brush up,"다듬다, 몸단장을 하다"
burst into tears,울음을 터뜨리다
burst out laughing,웃음을 터뜨리다
do a big business,"장사가 잘 되다, 번창하다"
have no business to,"~할 권리가 없다, ~해서는 안된다"
make a great business of,~을 감당 못하다
on business,"상용으로, 용무가 있어"
all but,거의
but for,"~이 없다면, 없었다면"
but little,거의 ~하지 않다
but that,"만일 ~이 아니라면, 이란 것"
by and by,"얼마 안 있어, 이윽고"
by birth,"태생은, 타고난"
by chance,우연히
by dint of,"~의 힘으로, ~에 의하여"
by far,"훨씬, 퍽"
by land,육로로
by oneself,"혼자, 단독으로"
by the way,"그런데, 말이 나온 김에"
call after,~을 따서 이름짓다
call at,"방문하다, 들르다"
call for,"요구하다, 데리러 가다, 찾다"
call forth,"환기하다, 불러 일으키다"
call on [upon],"방문하다, 부탁하다"
call out,"도전하다, 소집하다, 소리치다"
call up,전화 걸다
what is called; what you call,"소위, 이른바"
with calmness,조용히
cannot but,~하지 않을 수 없다
cannot help ~ing,~하지 않을 수 없다
be capable of,"~을 할 능력이 있다, 역량이 있다"
care for,"~을 좋아하다, ~을 돌보다"
care to,"원하다, 희망하다"
take care of,~을 돌보다
carry away,"가져가버리다, 휩쓸어가다"
carry off,"획득하다, 빼앗아 가다"
carry on,"영위하다, 계속하다"
carry out,"실행하다, 성취하다"
carry through,"끝까지 견디어 내다, 이루다"
in case of [that],"~의 경우에는, 경우를 고려하여"
in any case,"어떠한 경우에도, 어쨌든"
in no case,결코 ~이 아닌
in the case of,"~에 관하여 말하면, ~의 경우에는"
cast about,"찾아다니다, 궁리하다"
cast out,"내던지다, 버리다"
catch (a) cold,"감기 들다, 감기에 걸리다"
catch at,"~을 잡으려고 하다, 덤벼들다"
catch fire,불붙다
catch hold of,"~을 잡다, 파악하다"
catch (one’s) breath,"놀라서 숨을 삼키다, 헐떡이다"
catch sight of,"~을 발견하다, 갑자기 보다"
catch up with,~을 따라잡다
in celebration of,~을 축하하여
for certain,확실히
change about,"변절하다, 마음이 흔들리다"
make a change for the better,"좋아지다, 호전되다"
be in charge of,"~을 책임지고 있다, 담당하고 있다"
charge at [upon],~을 향해 돌진하다
be charged with,"~이 부과되다, ~의 죄로 고발되다"
take charge of,"~을 떠맡다, 감독하다, 담임하다"
chime in,맞장구를 치다
have no choice but to,~할 수 밖에 없다
make a choice,선택하다
clean up,깨끗이 청소하다
make a clean breast of,~을 깨끗이 털어놓다
be clear of,~이 전혀 없다
clear away,"걷어 치우다, 걷히다"
clear off,"제거하다, 빚을 갚다"
clear up,"날씨가 개다, 해결하다"
cling to,"달라붙다, 고집하다, 집착하다"
close by,"~의 가까이, ~의 바로 옆에"
close in [on],"포위하다, 육박하다"
close on [upon],"~거의, ~에 가까운"
close to,~에 가까이
close up,"밀집하다, 꼭 닫다"
close with,"~와 접전하다, 협정하다"
be close to,"~에 접근하고 있다, 가깝다"
have a cold,"감기에 걸리다, 감기에 걸려 있다"
come about,"생기다, 일어나다"
come across,"만나다, 발견하다, 갚다"
come on,"다가오다, 등장하다"
come to,"결국 ~이 되다, ~의 액수에 달하다, 회복하다"
at one’s command,"~의 지휘 아래, 명령대로"
in commemoration of,~의 기념으로
commit oneself to,"~에 전념하다, ~한다고 약속하다"
be common to,~에 공통하다
in common,"공통으로, 공동으로"
in company,"사람들과 어울려 있는 데서, 다른 사람 앞에서"
in company with,"~와 함께, 더불어"
compare to,~에 비유하다
compare with,~와 비교하다
in comparison with,~에 비하면
be composed of,~으로 이루어지다
concentrate on,~에 집중하다
be concerned with,"~에 관계가 있다, 관심을 두다"
concern oneself about,~을 염려하다
be concerned about,~을 염려하다
to conclude,결론적으로 말하면
in the concrete,구체적으로
in condition,"건강하여, 양호한 상태로"
on condition that,"~이라는 조건으로, 만약 ~이라면"
out of condition,"건강하지 못하여, 나쁜 상태로"
confine oneself to,"~에 틀어박혀 있다, 국한하다"
be confronted with [by],~에 직면하다
be connected with,~와 연고 관계가 있다
be [become] conscious of,"~을 의식하다, 알아채다"
with the consent of,~의 동의를 얻어
in consequence of,"~결과, ~때문에"
consist in,"~에 있다, 존재하다"
consist of,~으로 이루어지다
in consonance with,"~와 일치하여, 조화하여"
in [into] contact with,"~와 접촉하여, 사귀어"
in contempt,"경멸하여, 부끄럽게"
contend with [against],~에 만족하다
content oneself with,~에 만족하다
in content,만족하여
to one’s heart’s content,"마음껏, 실컷"
on the contrary,"반대로, 오히려, ~이기는 커녕"
to the contrary,"그와 반대로, 그 반대의"
make a contribute to,"~에 기부하다, 공헌하다"
bring ~ under control,"~을 제어하다, 억누르다"
be conceived of,~을 확신하다
in cooperation with,"~와 협력하여, 협동하여"
cope with,"잘 대항하다, 수습하다, 대처하다"
to the core,"속속들이, 철저히"
correspond to,"~에 해당하다, 부합하다"
correspond with,"~와 일치하다, 편지 왕래를 하다"
at all costs,"어떠한 희생이 있더라도, 무슨 일이 있어도"
at any cost,어떤 희생을 치르더라도
at the cost of,"~을 희생하여, 들여서"
to one’s cost,"~의 부담으로, ~에게 폐를 끼치고, 혼이 나고, 손해 를 보고"
count for little [nothing],대수롭지 않다
count on [upon],"믿다, 기대하다"
count out,"제외하다, 세어 내다"
a couple of,"두 개의, 두서넛의"
in the course of,"~하는 중에, 동안에"
be covered with,~으로 덮혀 있다
cover up,"싸서 감추다, 감싸다"
crave for,"~을 갈망하다, 간청하다"
give credit to,"~을 믿다, 신임하다"
on credit,"신용 대출로, 외상으로"
a crowd of; crowds of,많은
be crowd with,"~으로 혼잡하다, 만원이다"
cry for,"~을 울며 요구하다, 갈망하다"
cry off,"포기하다, 취소하다"
cut across,"횡단하다, 질러가다"
cut a figure,"사람의 눈을 끌다, 출중하다"
cut down,"자르다, 줄이다"
cut in,"끼어들다, 참견하다"
cut off,"떼어내다, 중단하다"
cut out,"오려내다, 생략하다, 앞지르다"
cut short,"갑자기 중단하다, 단축하다"
cut up,"~을 잘게 썰다, 혹평하다"
in danger of,~의 위험이 있는
dash against [upon],~에 충돌하다
out of date,"시대에 뒤떨어진, 구식의"
up to date,"현재까지, 최선의, 현대적인"
all day long,종일
by day,낮에는
day after day,"매일, 날마다"
day by day,"나날이, 날마다"
from day to day,"나날이, 날이 갈수록"
in those days,"그때에는, 그 당시에는"
one day,"(과거나 미래의) 어느 날, 언젠가는"
the day after tomorrow,모레
the day before yesterday,그저께
a great [good] deal,"다량, 대량, 많이, 훨씬, 아주"
deal in,"~을 팔다, ~에 종사하다"
deal out,~을 나누어주다
deal with,"~와 거래하다, ~을 취급하다, 다루다, 처리하다"
be the death of,"~의 사인이 되다, ~을 죽이다, 지독하게 괴롭히다"
be in debt,빚을 지고 있다
"run [get, fall] into debt",빚지다
decide for,~하기로 결심하다
decide on,~로 결정하다
in defiance of,"~을 무시하고, 상관 않고"
set ~ at defiance,"반항하다, 무시하다"
be delighted at [with],~을 기뻐하다
be dependent on [upon],"~에 의존하다, ~나름이다"
deprive ~ of …,~으로부터 …을 빼앗다
deprive from,"~에서 나오다, 유래하다"
be design to,~하도록 고안되어 있다
by design,"고의로, 계획적으로"
have designs upon [agains],"~을 해칠 뜻을 품다, ~을 죽이려고 벼르다"
in detail,"상세히, 세부적으로"
devote oneself to,"~에 전념하다, 몰두하다"
die away,"사라지다, 차츰 조용해지다"
die from,"~으로 죽다 (외상, 부주의에 의함)"
die hard,좀처럼 죽지 않다
die of,"~으로 죽다 (병, 굶주림, 노쇠로)"
die out,"멸종하다, 사멸하다"
make no difference,"차이가 없다, 차별하지 않다"
be different from,~와 다르다
with difficulty,"어렵게, 힘들게, 겨우"
have difficulty in,~이 곤란하다
have no difficulty in,~이 곤란하지 않다
dine out,밖에서 식사하다
by dint of,"~의 힘으로, ~에 의하여"
dispense with,"~을 폐지하다, 면제하다, ~ 없이 지내다"
out of display,~보란 듯이
dispose of,"~을 처분하다, 해결하다"
at a distance,"얼마간 떨어져, 떨어진 곳에"
in the distance,"아주 먼 곳에, 멀리"
distinguish ~ from …,~와 …을 구별하다
distinguish oneself,"두드러지게 하다, 뚜렷하게 하다"
do ~ a favor,~에게 은혜[호의]를 베풀다
do away with,~을 폐지하다
do ~ by,"~하게 대우하다, 취급하다"
do for,"~을 대리하다, 돌보다, ~의 도움이 되다, 해주다"
do (a person) a good turn,~에게 친절을 다하다
do well,"잘하다, 번영하다, 경과가 좋다"
do with,"~을 처분하다, 참다, 다루다 ~에 만족하다"
do without,"~없이 지내다, 해나가다"
dodge about,요리조리 몸을 피하다
from door to door,집집마다
be dotted with,~이 점점이 흩어져 있다
on the dot,"정각에, 제 시간에, 즉석에서"
beyond doubt,의심할 나위 없이
in doubt,"의심스러운, 확실치 않은"
no doubt,"의심의 여지 없이, 확실한"
dozens of,"수십의, 다수의"
half-dozen,여섯 개
draw away,"떼어 놓다, 앞서다"
draw back,"되돌리다, 후퇴하다, 물러나다"
draw in,"끌어들이다, 저물다, 절감하다"
